symbol,currency,country,downMonthPercentage,industry,subsector,twoYear,sixMonth,threeMonth,oneYearRisk,twoYearRisk,sinceStartDateRisk,a_sinceStartDateRisk,a_oneYearRisk,a_twoYearRisk
HFBL,USD,United States,0.38235294117647056,Financials,Banks,0.13838131675864085,-0.05462144328932873,0.0896042434962473,0.02001305734634542,0.02149329881027666,0.030247769047114514,0.3162541486771305,0.24264542497061883,0.06694953805634163
HMST,USD,United States,0.47058823529411764,Financials,Banks,0.015039945787716153,-0.02188685963394578,0.22091396647630607,0.018444090784541085,0.01740969737372416,0.017608128747944297,0.2778004488220961,0.28751492104414267,0.007491908547019532
HMTA,USD,United States,0.4306569343065693,Financials,Banks,0.5071920261945239,0.07525905991216385,0.21364024536169215,0.027303392807958266,0.022873740580110925,0.04838257429167931,0.4155947934093398,0.38127113117964373,0.2276774927457632
HTBI,USD,United States,0.3875,Financials,Banks,0.15620255128902513,-0.12820459131827378,-0.031145183710530072,0.011998953457497913,0.01299291570305638,0.011518640491925792,0.1781328971003076,0.18236830377390545,0.07526859495152416
FIXX,USD,United States,0.3333333333333333,Health Care,Biotechnology,nan,0.1828518133196567,0.20930199054309404,0.03605666869584394,nan,0.03605666869584394,0.5569733712808032,0.5539130548707776,nan
HOFT,USD,United States,0.4371859296482412,Consumer Goods,Furnishings,-0.13994955743626034,-0.14695199372141954,0.08874801712330536,0.025429454554215542,0.025171411807695693,0.028449168765914138,0.4395277504479599,0.3939514159664606,-0.07261095404154161
HOPE,USD,United States,0.4720496894409938,Financials,Banks,-0.24609736142113658,-0.1850166616588868,0.10003402487426043,0.016146098126544536,0.01606678157741119,0.02608450962065982,0.4529777104881369,0.25169276069251023,-0.13172433030813113
HFBC,USD,United States,0.457286432160804,Financials,Banks,0.36657978024860177,0.1338588864891993,0.4793081359020764,0.02894863063422238,0.022296371426637426,0.02239396922010502,0.3107377225678017,0.41649826605701995,0.1690080325851493
ALRM,USD,United States,0.37777777777777777,Technology,Software,0.9820163492115452,0.09268306042875653,0.20917692813470445,0.025498537059812577,0.023182611931334852,0.0254342756537271,0.4028777217261783,0.3999289267843679,0.40784102412578727
ALSK,USD,United States,0.507537688442211,Telecommunications,Fixed Line Telecommunications,0.010810315248223271,0.1402433428539517,0.2986113824172209,0.028817960742615587,0.027630489833174527,0.033325786269238676,0.5028977869560413,0.4245150703046436,0.005390628187981195
ALBO,USD,United States,0.5492957746478874,Health Care,Biotechnology,0.3832681925726146,-0.04308291845692548,0.28577232707707473,0.03320189603356343,0.03784260533444234,0.04771078857757147,0.7410192276690326,0.5122139047831541,0.1761242249748174
ABDC,USD,United States,0.5,Financials,Specialty Finance,-0.3014709012273026,0.3203451644488139,0.18701700465174767,0.018675398128938023,0.021003237442063068,0.018470746728590202,0.2856881236519354,0.286288432161466,-0.16421946734044024
ALDR,USD,United States,0.603448275862069,Health Care,Pharmaceuticals,-0.4086439753119748,-0.19279257925002763,0.31121938128473986,0.036478790598288506,0.041400886088543455,0.04539119484761292,0.7131119608221353,0.5627673719364691,-0.2310032349300648
ALDX,USD,United States,0.5172413793103449,Health Care,Biotechnology,0.8580215472369318,-0.2963768669740837,0.16987949700302454,0.047926117502628963,0.05758131281410075,0.053096372167331485,0.8210384283499078,0.7346934691664359,0.3630926407390409
ALXN,USD,United States,0.41708542713567837,Health Care,Biotechnology,0.14698969043706048,-0.015970090752824323,0.40499170286992253,0.023183141915199303,0.022581875877896913,0.026235241157423265,0.4100763178281723,0.3643516749760963,0.07097604568779237
ALCO,USD,United States,0.5025125628140703,Consumer Goods,Farming & Fishing,0.07694080063258993,-0.18920886920772406,-0.07288114384361516,0.01292855052883255,0.016538916189614474,0.024602121317101364,0.38175268063336637,0.19987054081980607,0.03775758278732422
ALGN,USD,United States,0.41708542713567837,Health Care,Medical Supplies,1.4086240286195648,-0.29893655658761353,0.30960237819425857,0.030015487861960937,0.027299775700804458,0.03543206889663131,0.552182343249325,0.4726843755347727,0.5519742358104933
ALIM,USD,United States,0.5514018691588785,Health Care,Pharmaceuticals,-0.24897972495564305,0.14285615016909878,0.5596699968330646,0.03776290338794038,0.032843739974606864,0.05197275702475798,0.7979386757494424,0.5613859178634686,-0.13338574034097672
ALJJ,USD,United States,0.5376884422110553,Basic Materials,Iron & Steel,-0.5308933676005173,-0.017543895095306416,0.2824427689576696,0.033982063955957716,0.03224914266115588,0.09085682553149031,1.2158368688339747,0.50632134943819,-0.3150864051579333
ALKS,USD,United States,0.4385026737967914,Health Care,Pharmaceuticals,-0.41610050473318505,-0.18991511294161595,0.16502918433761585,0.028401944984146582,0.026336530077453915,0.02708049707395728,0.47192963610711564,0.44365256321509894,-0.23586683407483555
ALLK,USD,United States,0.375,Health Care,Health Care Providers,nan,0.12312354286868081,-0.04797671075318152,nan,nan,0.04322740317289752,0.6465491311939181,nan,nan
ABTX,USD,United States,0.4146341463414634,Financials,Banks,-0.03911122470949919,-0.20023960282596814,0.030275293053353414,0.01548031435234747,0.015106711758683198,0.019284212381923925,0.30158970068298635,0.2398199987227896,-0.01975065657226749
ALGT,USD,United States,0.40816326530612246,Consumer Services,Airlines,-0.2053197682109753,-0.01113440442625177,0.24393455548907894,0.024572872334929663,0.02194032054916946,0.02748676482761654,0.43505610641607073,0.38462629060328696,-0.10855161013717418
